Hiperparametros,epocas,lotes,train_f1,test_f1,train_accuracy,test_accuracy
"{'num_layers': 1, 'capa0_neuronas': 32, 'optimizer': 'adam'}",32,10,0.9775499701499939,0.9686999320983887,0.9775500297546387,0.9686999917030334
"{'num_layers': 1, 'capa0_neuronas': 32, 'optimizer': 'sgd'}",32,10,0.944149911403656,0.9424999356269836,0.9441499710083008,0.9424999952316284
"{'num_layers': 1, 'capa0_neuronas': 64, 'optimizer': 'adam'}",32,10,0.9904165863990784,0.9752999544143677,0.9904166460037231,0.9753000140190125
"{'num_layers': 1, 'capa0_neuronas': 64, 'optimizer': 'sgd'}",32,10,0.9507666230201721,0.9480999112129211,0.9507666826248169,0.9480999708175659
"{'num_layers': 1, 'capa0_neuronas': 128, 'optimizer': 'adam'}",32,10,0.9955165982246399,0.9792999625205994,0.9955166578292847,0.9793000221252441
"{'num_layers': 1, 'capa0_neuronas': 128, 'optimizer': 'sgd'}",32,10,0.9533665776252747,0.9538999199867249,0.9533666372299194,0.9538999795913696
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 32}",32,10,0.9812832474708557,0.9672999382019043,0.9812833070755005,0.9672999978065491
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 64}",32,10,0.9787832498550415,0.9737999439239502,0.9787833094596863,0.973800003528595
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'adam', 'capa1_neuronas': 128}",32,10,0.9832332730293274,0.9724999666213989,0.9832333326339722,0.9725000262260437
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 32}",32,10,0.9573665857315063,0.9554999470710754,0.9573666453361511,0.9555000066757202
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 64}",32,10,0.9538499116897583,0.953999936580658,0.9538499712944031,0.9539999961853027
"{'num_layers': 2, 'capa0_neuronas': 32, 'optimizer': 'sgd', 'capa1_neuronas': 128}",32,10,0.9551166296005249,0.9530999660491943,0.9551166892051697,0.9531000256538391
"{'num_layers': 2, 'capa0_neuronas': 64, 'optimizer': 'adam', 'capa1_neuronas': 32}",32,10,0.9827666282653809,0.9743999242782593,0.9827666878700256,0.974399983882904
